Gene,DiffusionScore
GORASP2,0.00021360598098548247
RPL12,0.0002135874211692126
PSMD3,0.00021320290368471626
HLA-C,0.00021303304509151896
DCAF4,0.00021293368245216813
RPS18,0.00021283630126095
WDR76,0.0002126257061539857
NHLRC2,0.00021258985694386294
SRSF7,0.00021251740178742891
TLE3,0.00021208366784452868
ELOVL5,0.00021207525442362132
NDUFS3,0.00021181001653130084
PRPF31,0.00021180878601868958
ESYT2,0.00021180682835193683
RAD21,0.00021158911320330563
NBR1,0.00021156933146000565
ICT1,0.00021126604442631933
IARS,0.00021117146881045214
PRKRA,0.00021108829054698077
FYN,0.0002108784563902527
RPL37A,0.00021087323178309205
MAP3K7,0.00021079239681918877
DDOST,0.0002107622502923063
ARAF,0.00021049887394636478
ACTN4,0.0002101917784339586
TPM3,0.00020994419660488653
METTL7A,0.00020978290063703288
METTL21B,0.00020966813835355435
CCR1,0.00020963960133256915
RPLP2,0.0002094703089013079
GTF2I,0.00020933112076263743
DKC1,0.00020926772366692046
PMPCA,0.0002091326333573557
SLFN11,0.00020890904751179418
ABT1,0.00020876810316207875
TRIM23,0.0002087028096066835
CTBP2,0.00020868130008568948
NTRK3,0.00020864493239941296
CDC73,0.00020853294407225916
RPS25,0.00020849002842636248
CXADR,0.0002083674116000955
DNAJC1,0.00020823106330957456
PIN1,0.00020822070906900686
RPL35A,0.00020811463219732365
RAD50,0.00020796875626125877
SNRPF,0.00020792216975241238
SMARCC1,0.00020786129115416078
DNAJB6,0.00020783844758544121
YBX3,0.00020771636150216933
PHGDH,0.00020761397570930618
YES1,0.00020751055929742502
NEDD8,0.00020716959755264134
TUBG1,0.00020702679948471895
SLC3A2,0.00020696136958324766
RHBDD1,0.00020656841391912675
TRIP6,0.00020650528565881827
PIK3R1,0.00020631682445909698
MOB3C,0.00020621046803473534
H2AFZ,0.0002061319836199857
DDA1,0.00020612863563355472
CFL1,0.000205938956436583
TOMM22,0.00020575870468978271
GANAB,0.00020571320058867615
NPC1,0.00020563612353627123
PDCD11,0.00020527729959382291
PRKCZ,0.0002051728276630826
TOLLIP,0.00020516591913731565
IFITM1,0.00020509326959377536
RPL26,0.0002049855891821694
LDHA,0.00020493449072750435
PRRC2A,0.00020485273492853597
KRR1,0.00020431214694204206
PSMC2,0.00020430682190143834
CLEC4E,0.00020415245691247157
KHDRBS1,0.0002040237500132935
CSNK1A1,0.00020391589006323412
GRM2,0.00020362001705082232
CD274,0.00020355614246987243
